day,holiday,calendar_week,class,start,end,abbreviation
Sunday,Zweiter Advent,49,5,2015-12-06,2015-12-06,AD2
Sunday,St. Nikolaus,49,5,2015-12-06,2015-12-06,STN
Sunday,Dritter Advent,50,5,2015-12-13,2015-12-13,AD3
Sunday,Vierter Advent,51,5,2015-12-20,2015-12-20,AD4
Thursday,Heiliger Abend,52,5,2015-12-24,2015-12-24,HAB
Friday,Weihnachten,52,1,2015-12-25,2015-12-25,WHN
Saturday,Zweiter Weihnachtsfeiertag,52,1,2015-12-26,2015-12-26,WF2
Thursday,Silvester,53,5,2015-12-31,2015-12-31,SLV
Wednesday,Neujahr,1,1,2014-01-01,2014-01-01,NEJ
Monday,Heilige drei Könige,2,1,2014-01-06,2014-01-06,HdK
Friday,Valentinstag,7,5,2014-02-14,2014-02-14,VLT
Wednesday,Aschermittwoch,10,5,2014-03-05,2014-03-05,ASM
Sunday,Palmsonntag,15,5,2014-04-13,2014-04-13,PLM
Friday,Karfreitag,16,1,2014-04-18,2014-04-18,KRF
Sunday,Ostern,16,4,2014-04-20,2014-04-20,OST
Monday,Ostermontag,17,1,2014-04-21,2014-04-21,OSM
Thursday,Tag der Arbeit,18,1,2014-05-01,2014-05-01,TdA
Friday,Europatag,19,5,2014-05-09,2014-05-09,EUT
Sunday,Muttertag,19,5,2014-05-11,2014-05-11,MUT
Thursday,Christi Himmelfahrt,22,1,2014-05-29,2014-05-29,CRH
Sunday,Pfingsten,23,4,2014-06-08,2014-06-08,PFG
Monday,Pfingstmontag,24,1,2014-06-09,2014-06-09,PFM
Thursday,Fronleichnam,25,1,2014-06-19,2014-06-19,FRL
Friday,Tag der Deutschen Einheit,40,1,2014-10-03,2014-10-03,TDE
Saturday,Allerheiligen,44,1,2014-11-01,2014-11-01,ALH
Sunday,Volkstrauertag,46,4,2014-11-16,2014-11-16,VLT
Sunday,Ewigkeitssonntag,47,5,2014-11-23,2014-11-23,EWS
Sunday,Erster Advent,48,5,2014-11-30,2014-11-30,ESA
Saturday,St. Nikolaus,49,5,2014-12-06,2014-12-06,STN
Sunday,Zweiter Advent,49,5,2014-12-07,2014-12-07,AD2
Sunday,Dritter Advent,50,5,2014-12-14,2014-12-14,AD3
Sunday,Vierter Advent,51,5,2014-12-21,2014-12-21,AD4
Wednesday,Heiliger Abend,52,5,2014-12-24,2014-12-24,HAB
Thursday,Weihnachten,52,1,2014-12-25,2014-12-25,WHN
Friday,Zweiter Weihnachtsfeiertag,52,1,2014-12-26,2014-12-26,WF2
Wednesday,Silvester,1,5,2014-12-31,2014-12-31,SLV
